[Info  - 16:42:09] Angular language server process ID: 12767
[Info  - 16:42:09] Using typescript/lib/tsserverlibrary v4.9.5 from /home/rugery/Documentos/Proyects/Portafolio/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:53:01] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:04] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:07] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:07] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:08] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:08] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:08] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:17] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:19] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:46] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:46] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:54:48] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
