[Info  - 16:02:29] Angular language server process ID: 7433
[Info  - 16:02:29] Using typescript/lib/tsserverlibrary v4.8.2 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:13:56] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:13:57] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:13:57] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:13:57] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:14:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:14:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:14:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:12] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:17] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:16:41] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:17:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:17:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:17:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:17:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:17:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:17] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:19] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
